[0.000000] (-) TimerEvent: {}
[0.000306] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000371] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000437] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000501] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000562] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000638] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000762] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000878] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001006] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001099] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001130] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001159] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001203] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001244] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001284] (-) JobUnselected: {'identifier': 'nav2_demo'}
[0.001311] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001338] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.001363] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001389] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001415] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001440] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001465] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001490] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001516] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.001545] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001573] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001614] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.001641] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.001669] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001699] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001729] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.001781] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.001828] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001859] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001890] (-) JobUnselected: {'identifier': 'navigation2'}
[0.001936] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.001980] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.002013] (-) EventReactorShutdown: {}
