[0.000000] (-) TimerEvent: {}
[0.000311] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000395] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000670] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000899] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000988] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001309] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001357] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001381] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001403] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001423] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001442] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001461] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001480] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001499] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001517] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001536] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.001554] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001573] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001592] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001611] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001630] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001648] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001666] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.001685] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001704] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.001722] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.001755] (-) JobUnselected: {'identifier': 'nav2_straightline_demo'}
[0.001774] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.001806] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.001824] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.001842] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.001861] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.001880] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.001898] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.001916] (-) JobUnselected: {'identifier': 'navigation2'}
[0.001934] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.001952] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.001971] (-) EventReactorShutdown: {}
