[0.000000] (-) TimerEvent: {}
[0.000348] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000456] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000525] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000764] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000824] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000863] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.000892] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.000955] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001064] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001163] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001324] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001414] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001458] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001499] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001541] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001582] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.001624] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001665] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001736] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001780] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.001823] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.001868] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.001911] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.001954] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.001998] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002041] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.002095] (-) JobUnselected: {'identifier': 'nav2_straightline_demo'}
[0.002137] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.002178] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002219] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002261] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002302] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002343] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002384] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002439] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002486] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.002528] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.002570] (-) EventReactorShutdown: {}
