[0.000000] (-) TimerEvent: {}
[0.000194] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000327] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.000596] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000819] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000916] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000981] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001087] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001153] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001282] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001395] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001516] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.001595] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.001646] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.001693] (-) JobUnselected: {'identifier': 'nav2_costmap_filters_demo'}
[0.001739] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.001788] (-) JobUnselected: {'identifier': 'nav2_gazebo_spawner'}
[0.001835] (-) JobUnselected: {'identifier': 'nav2_gradient_costmap_plugin'}
[0.001880] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.001926] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.001973] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002018] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002063] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002108] (-) JobUnselected: {'identifier': 'nav2_recoveries'}
[0.002155] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002205] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002250] (-) JobUnselected: {'identifier': 'nav2_sms_behavior'}
[0.002295] (-) JobUnselected: {'identifier': 'nav2_straightline_demo'}
[0.002339] (-) JobUnselected: {'identifier': 'nav2_straightline_planner'}
[0.002384] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002457] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002501] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002545] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002590] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002648] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002692] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002736] (-) JobUnselected: {'identifier': 'sam_bot_description'}
[0.002794] (-) JobUnselected: {'identifier': 'smac_planner'}
[0.002839] (-) EventReactorShutdown: {}
